Date,signal,position,order,fill_price,close,slippage_bps,strategy_return,signal_checked,order_checked,position_checked,checklist_complete
2026-04-21,1.0,1.0,0.0,710.280029296875,704.0800170898438,22.012341379378242,-0.0015909286988275984,True,True,True,True
2026-04-22,1.0,1.0,0.0,709.1500244140625,711.2100219726562,72.00896490678011,0.0004935141703290569,True,True,True,True
2026-04-23,1.0,1.0,0.0,709.5,708.4500122070312,24.043839651095578,0.0017618040873854657,True,True,True,True
2026-04-24,1.0,1.0,0.0,710.75,713.9400024414062,32.46506815355321,0.0034048299826328066,True,True,True,True
2026-04-27,1.0,1.0,0.0,713.1699829101562,715.1699829101562,10.785493579528183,-0.0018929226107200492,True,True,True,True
2026-04-28,1.0,1.0,0.0,711.8200073242188,711.6900024414062,46.84166933720868,-0.001151986900875701,True,True,True,True
2026-04-29,1.0,1.0,0.0,711.0,711.5800170898438,9.695266745903819,0.005105492099595654,True,True,True,True
2026-04-30,1.0,1.0,0.0,714.6300048828125,718.6599731445312,42.86219005196878,0.00926352808020292,True,True,True,True
2026-05-01,1.0,1.0,0.0,721.25,720.6500244140625,36.03967039010003,-0.001636038371967019,True,True,True,True
2026-05-04,1.0,1.0,0.0,720.0700073242188,718.010009765625,8.048526610615614,0.0023608985095053825,True,True,True,True
2026-05-05,1.0,1.0,0.0,721.77001953125,723.77001953125,52.36709397480999,0.008853171287761752,True,True,True,True
2026-05-06,1.0,1.0,0.0,728.1599731445312,733.8300170898438,60.653985310477054,0.009462226574585397,True,True,True,True
2026-05-07,1.0,1.0,0.0,735.0499877929688,731.5800170898438,16.624704287282466,-0.0001632475602751926,True,True,True,True
2026-05-08,1.0,1.0,0.0,734.9299926757812,737.6199951171875,45.790966233103525,0.0020682507808884587,True,True,True,True
2026-05-11,1.0,1.0,0.0,736.4500122070312,739.2999877929688,15.86159428840328,0.0005974640968333667,True,True,True,True
2026-05-12,1.0,1.0,0.0,736.8900146484375,738.1799926757812,32.59804117846321,0.002144086665960998,True,True,True,True
2026-05-13,1.0,1.0,0.0,738.469970703125,742.3099975585938,3.928283483987105,0.007014575969833015,True,True,True,True
2026-05-14,1.0,1.0,0.0,743.6500244140625,748.1699829101562,18.05211919381433,-0.002501238923758975,True,True,True,True
2026-05-15,1.0,1.0,0.0,741.7899780273438,739.1699829101562,85.27480423628053,-0.002642204661098546,True,True,True,True
2026-05-18,1.0,1.0,0.0,739.8300170898438,738.6500244140625,8.929396416896829,0.0,True,True,True,True
